"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18181","Tablet TC_102:Successful Articles submenu Tech Redirection @regression","Browser:Google Chrome","Wed Dec 03 06:08:00 UTC 2025","passed","Wed Dec 03 06:08:18 UTC 2025","Menubar","functional/4_Menubar/menubar.spec.js","",""
"","81813","Laptop TC_150: Footer form About & Contact us link @regression","Browser:Google Chrome","Wed Dec 03 06:14:04 UTC 2025","passed","Wed Dec 03 06:15:26 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","33842","Mobile TC_142:Successful redirection ICalender of event cards of offline events @regression","Browser:Google Chrome","Wed Dec 03 06:12:58 UTC 2025","passed","Wed Dec 03 06:13:32 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","49371","Mobile TC_033:Successful redirection on Talent Platform submenu (with company login) @regression","Browser:Google Chrome","Wed Dec 03 06:12:57 UTC 2025","passed","Wed Dec 03 06:13:46 UTC 2025","Menubar","functional/4_Menubar/menubar.spec.js","",""
"","15558","Mobile TC_092:Successful Articles submenu Outsourcing cases Redirection @regression","Browser:Google Chrome","Wed Dec 03 06:14:55 UTC 2025","passed","Wed Dec 03 06:15:11 UTC 2025","Menubar","functional/4_Menubar/menubar.spec.js","",""
"","12264","Mobile TC_126:Valid Search functionality in Online events @regression","Browser:Google Chrome","Wed Dec 03 06:07:04 UTC 2025","passed","Wed Dec 03 06:07:17 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","11476","Desktop TC_012:Successful Colored Header Button redirection @regression","Browser:Google Chrome","Wed Dec 03 06:10:07 UTC 2025","passed","Wed Dec 03 06:10:19 UTC 2025","Navbar","functional/3_Navbar/navbar.spec.js","",""
"","6823","Mobile TC_084:Articles Footer form Facebook redirection @regression","Browser:Google Chrome","Wed Dec 03 06:09:30 UTC 2025","passed","Wed Dec 03 06:09:37 UTC 2025","Articles footer subscribe form","functional/5_AllArticles/footerSubscribeForm.spec.js","",""
"","13525","Laptop TC_097:Successful Articles submenu VFX Redirection @regression","Browser:Google Chrome","Wed Dec 03 06:15:46 UTC 2025","passed","Wed Dec 03 06:16:00 UTC 2025","Menubar","functional/4_Menubar/menubar.spec.js","",""
"","14052","Laptop TC_091:Successful Articles submenu 80 Level Anivarsary Redirection @regression","Browser:Google Chrome","Wed Dec 03 06:14:34 UTC 2025","passed","Wed Dec 03 06:14:48 UTC 2025","Menubar","functional/4_Menubar/menubar.spec.js","",""
"","8504","Tablet TC_128:Invalid Search functionality in All events @regression","Browser:Google Chrome","Wed Dec 03 06:07:26 UTC 2025","passed","Wed Dec 03 06:07:34 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","4625","Mobile TC_114:Check pagination of online events if present with oldest filter @regression","Browser:Google Chrome","Wed Dec 03 06:11:22 UTC 2025","passed","Wed Dec 03 06:11:27 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","31478","Mobile TC_140:Successful redirection ICalender of event cards of all events @regression","Browser:Google Chrome","Wed Dec 03 06:12:02 UTC 2025","passed","Wed Dec 03 06:12:34 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","10126","Laptop TC_123:Check pagination of offline events if present with A-Z filter @regression","Browser:Google Chrome","Wed Dec 03 06:13:23 UTC 2025","passed","Wed Dec 03 06:13:33 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","12231","Tablet TC_097:Successful Articles submenu VFX Redirection @regression","Browser:Google Chrome","Wed Dec 03 06:15:51 UTC 2025","passed","Wed Dec 03 06:16:03 UTC 2025","Menubar","functional/4_Menubar/menubar.spec.js","",""
"","12831","Desktop TC_106:Successful Articles submenu Digest Redirection @regression","Browser:Google Chrome","Wed Dec 03 06:08:54 UTC 2025","passed","Wed Dec 03 06:09:07 UTC 2025","Menubar","functional/4_Menubar/menubar.spec.js","",""
"","13353","Mobile TC_103:Successful Articles submenu Ratings Redirection @regression","Browser:Google Chrome","Wed Dec 03 06:08:19 UTC 2025","passed","Wed Dec 03 06:08:32 UTC 2025","Menubar","functional/4_Menubar/menubar.spec.js","",""
"","10723","Desktop TC_125:Valid Search functionality in All events @regression","Browser:Google Chrome","Wed Dec 03 06:13:44 UTC 2025","passed","Wed Dec 03 06:13:55 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","16054","Desktop TC_057:Article pagination with two filters popular tab and pagination check @regression","Browser:Google Chrome","Wed Dec 03 06:14:57 UTC 2025","passed","Wed Dec 03 06:15:13 UTC 2025","Articles","functional/5_AllArticles/articles.spec.js","",""
"","17850","Mobile TC_094:Successful Articles submenu Environment Art Redirection @regression","Browser:Google Chrome","Wed Dec 03 06:15:26 UTC 2025","passed","Wed Dec 03 06:15:43 UTC 2025","Menubar","functional/4_Menubar/menubar.spec.js","",""
"","6950","Tablet TC_138:Successful redirection Google Calender of event cards of online events @regression","Browser:Google Chrome","Wed Dec 03 06:11:24 UTC 2025","passed","Wed Dec 03 06:11:31 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","8023","Tablet TC_118:Check pagination of all events if present with Z-A filter @regression","Browser:Google Chrome","Wed Dec 03 06:12:08 UTC 2025","passed","Wed Dec 03 06:12:16 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","5981","Tablet TC_115:Check pagination of offline events if present with oldest filter @regression","Browser:Google Chrome","Wed Dec 03 06:11:27 UTC 2025","passed","Wed Dec 03 06:11:33 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","48808","Desktop TC_029:Successful selected state on Partners submenu @regression","Browser:Google Chrome","Wed Dec 03 06:13:46 UTC 2025","passed","Wed Dec 03 06:14:35 UTC 2025","Menubar","functional/4_Menubar/menubar.spec.js","",""
"","15256","Desktop TC_066:Article pagination without filter popular button result @regression","Browser:Google Chrome","Wed Dec 03 06:16:38 UTC 2025","passed","Wed Dec 03 06:16:53 UTC 2025","Articles","functional/5_AllArticles/articles.spec.js","",""
"","28857","Laptop TC_048:Successful popular button result @regression","Browser:Google Chrome","Wed Dec 03 06:10:16 UTC 2025","passed","Wed Dec 03 06:10:45 UTC 2025","Articles","functional/5_AllArticles/articles.spec.js","",""
"","15708","Tablet TC_007:Login with Google redirection link @regression","Browser:Google Chrome","Wed Dec 03 06:08:35 UTC 2025","passed","Wed Dec 03 06:08:51 UTC 2025","Login to 80LV","functional/1_Login/login.spec.js","",""
"","11586","Desktop TC_108:Successful Articles submenu Promo Redirection @regression","Browser:Google Chrome","Wed Dec 03 06:09:19 UTC 2025","passed","Wed Dec 03 06:09:30 UTC 2025","Menubar","functional/4_Menubar/menubar.spec.js","",""
"","10499","Mobile TC_111:Successful Big Image Banner visbility and redirection @regression","Browser:Google Chrome","Wed Dec 03 06:10:58 UTC 2025","passed","Wed Dec 03 06:11:09 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","8605","Mobile TC_014:Successful search modal seen @regression","Browser:Google Chrome","Wed Dec 03 06:10:42 UTC 2025","passed","Wed Dec 03 06:10:51 UTC 2025","Navbar Search","functional/3_Navbar/search.spec.js","",""
"","7942","Laptop TC_069:Article newletter valid Subscription @regression","Browser:Google Chrome","Wed Dec 03 06:16:57 UTC 2025","passed","Wed Dec 03 06:17:05 UTC 2025","Articles","functional/5_AllArticles/articles.spec.js","",""
"","11952","Tablet TC_067:Article page right side promo banner visibility with redirection @regression","Browser:Google Chrome","Wed Dec 03 06:12:50 UTC 2025","passed","Wed Dec 03 06:13:02 UTC 2025","Articles promo banner","functional/5_AllArticles/promoImagebanner.spec.js","",""
"","113797","Tablet TC_136:Successful redirection of all official website of event cards of offline events @regression","Browser:Google Chrome","Wed Dec 03 06:10:40 UTC 2025","passed","Wed Dec 03 06:12:33 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","13179","Mobile TC_105:Successful Articles submenu events Redirection @regression","Browser:Google Chrome","Wed Dec 03 06:08:48 UTC 2025","passed","Wed Dec 03 06:09:01 UTC 2025","Menubar","functional/4_Menubar/menubar.spec.js","",""
"","17020","Desktop TC_005:Login with Facebook redirection link @regression","Browser:Google Chrome","Wed Dec 03 06:07:48 UTC 2025","passed","Wed Dec 03 06:08:05 UTC 2025","Login to 80LV","functional/1_Login/login.spec.js","",""
"","5954","Tablet TC_053:Article add bookmark without login @regression","Browser:Google Chrome","Wed Dec 03 06:13:59 UTC 2025","passed","Wed Dec 03 06:14:05 UTC 2025","Articles","functional/5_AllArticles/articles.spec.js","",""
"","10981","Mobile TC_129:Invalid Search functionality in Online events @regression","Browser:Google Chrome","Wed Dec 03 06:07:46 UTC 2025","passed","Wed Dec 03 06:07:57 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","9054","Mobile TC_157: Footer form YouTube redirection @regression","Browser:Google Chrome","Wed Dec 03 06:15:14 UTC 2025","passed","Wed Dec 03 06:15:23 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","6835","Mobile TC_117:Check pagination of all events if present with A-Z filter @regression","Browser:Google Chrome","Wed Dec 03 06:11:59 UTC 2025","passed","Wed Dec 03 06:12:06 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","49820","Mobile TC_031:Successful redirection on Talent Platform submenu @regression","Browser:Google Chrome","Wed Dec 03 06:12:26 UTC 2025","passed","Wed Dec 03 06:13:16 UTC 2025","Menubar","functional/4_Menubar/menubar.spec.js","",""
"","8719","Mobile TC_119:Check pagination of online events if present with newest filter @regression","Browser:Google Chrome","Wed Dec 03 06:12:23 UTC 2025","passed","Wed Dec 03 06:12:32 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","37560","Desktop TC_085:Articles Footer form Twitter redirection @regression","Browser:Google Chrome","Wed Dec 03 06:09:31 UTC 2025","passed","Wed Dec 03 06:10:08 UTC 2025","Articles footer subscribe form","functional/5_AllArticles/footerSubscribeForm.spec.js","",""
"","15304","Laptop TC_104:Successful Articles submenu SPosored by unreal engine Redirection @regression","Browser:Google Chrome","Wed Dec 03 06:08:31 UTC 2025","passed","Wed Dec 03 06:08:46 UTC 2025","Menubar","functional/4_Menubar/menubar.spec.js","",""
"","14975","Desktop TC_103:Successful Articles submenu Ratings Redirection @regression","Browser:Google Chrome","Wed Dec 03 06:08:12 UTC 2025","passed","Wed Dec 03 06:08:27 UTC 2025","Menubar","functional/4_Menubar/menubar.spec.js","",""
"","7612","Tablet TC_150: Footer form About & Contact us link @regression","Browser:Google Chrome","Wed Dec 03 06:14:06 UTC 2025","passed","Wed Dec 03 06:14:14 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","5832","Mobile TC_115:Check pagination of offline events if present with oldest filter @regression","Browser:Google Chrome","Wed Dec 03 06:11:33 UTC 2025","passed","Wed Dec 03 06:11:39 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","22088","Mobile TC_139:Successful redirection Google Calender of event cards of offline events @regression","Browser:Google Chrome","Wed Dec 03 06:11:36 UTC 2025","passed","Wed Dec 03 06:11:58 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","49774","Desktop TC_053:Article add bookmark without login @regression","Browser:Google Chrome","Wed Dec 03 06:13:38 UTC 2025","passed","Wed Dec 03 06:14:28 UTC 2025","Articles","functional/5_AllArticles/articles.spec.js","",""
"","6797","Laptop TC_084:Articles Footer form Facebook redirection @regression","Browser:Google Chrome","Wed Dec 03 06:09:24 UTC 2025","passed","Wed Dec 03 06:09:31 UTC 2025","Articles footer subscribe form","functional/5_AllArticles/footerSubscribeForm.spec.js","",""
"","13463","Desktop TC_031:Successful redirection on Talent Platform submenu @regression","Browser:Google Chrome","Wed Dec 03 06:12:10 UTC 2025","passed","Wed Dec 03 06:12:23 UTC 2025","Menubar","functional/4_Menubar/menubar.spec.js","",""
"","6584","Tablet TC_081:Articles Footer form Disclaimer link @regression","Browser:Google Chrome","Wed Dec 03 06:08:51 UTC 2025","passed","Wed Dec 03 06:08:58 UTC 2025","Articles footer subscribe form","functional/5_AllArticles/footerSubscribeForm.spec.js","",""
"","7120","Tablet TC_063:Successful Pagination Right Arrow visibility and functionality Check @regression","Browser:Google Chrome","Wed Dec 03 06:16:03 UTC 2025","passed","Wed Dec 03 06:16:10 UTC 2025","Articles","functional/5_AllArticles/articles.spec.js","",""
"","96436","Mobile TC_010:Successful Sign up @regression","Browser:Google Chrome","Wed Dec 03 06:09:51 UTC 2025","passed","Wed Dec 03 06:11:27 UTC 2025","Signup to 80LV","functional/2_Signup/signup.spec.js","",""
"","7439","Mobile TC_132:Check expantion and collapse of events card of events in online events tab @regression","Browser:Google Chrome","Wed Dec 03 06:08:41 UTC 2025","passed","Wed Dec 03 06:08:49 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","18601","Tablet TC_119:Check pagination of online events if present with newest filter @regression","Browser:Google Chrome","Wed Dec 03 06:12:19 UTC 2025","passed","Wed Dec 03 06:12:38 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","51655","Tablet TC_006:Login with Xsolla redirection link @regression","Browser:Google Chrome","Wed Dec 03 06:08:09 UTC 2025","passed","Wed Dec 03 06:09:01 UTC 2025","Login to 80LV","functional/1_Login/login.spec.js","",""
"","4578","Mobile TC_144:Successful redirection of iCalender button @regression","Browser:Google Chrome","Wed Dec 03 06:13:28 UTC 2025","passed","Wed Dec 03 06:13:32 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","8725","Laptop TC_155: Footer form Facebook redirection @regression","Browser:Google Chrome","Wed Dec 03 06:14:47 UTC 2025","passed","Wed Dec 03 06:14:56 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","52857","Laptop TC_136:Successful redirection of all official website of event cards of offline events @regression","Browser:Google Chrome","Wed Dec 03 06:10:27 UTC 2025","passed","Wed Dec 03 06:11:20 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","8413","Laptop TC_141:Successful redirection ICalender of event cards of online events @regression","Browser:Google Chrome","Wed Dec 03 06:12:27 UTC 2025","passed","Wed Dec 03 06:12:35 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","8612","Laptop TC_156: Footer form Twitter redirection @regression","Browser:Google Chrome","Wed Dec 03 06:14:56 UTC 2025","passed","Wed Dec 03 06:15:04 UTC 2025","Events Page","functional/6_Events/events.spec.js","",""
"","49338","Mobile TC_107:Successful Articles submenu Feature Redirection @regression","Browser:Google Chrome","Wed Dec 03 06:09:17 UTC 2025","passed","Wed Dec 03 06:10:06 UTC 2025","Menubar","functional/4_Menubar/menubar.spec.js","",""
